"","artist","lyrics","year"
"1","Kodak Black","[Verse]
My nigga slayed a nigga, I just came from hanging with him
I don't know what really happened, I think he home invaded a nigga
You never catch me out here clubbing unless they paid a niggaWhy the fuck would I chase a bitch when I don't even chase the liquor
Hell yeah, they call me Kodak, but I ain't come to take no pictures
So icy make it blizzard and I'm leaning sipping sizzurpLil Wiz still be kicking doors, I call that boy a wizard
I was texting and driving, I looked up, I wrecked the fender
Why they say, boy you better get her so I blitzed her
No time to waste, therefore if I get her I'mma hit her
My mama say, baby you a winner not a quitter
Well not today, cause momma soon I hit her I'm a quit her
Cut the top with a scissor, turned my new car to a vert
I might need a new liver ‘cause my body full of syrup
Kodak Black, but I'm smokin' purp, thinking 'bout chief the purp
Rest in peace, wayne hit a perc, new boy down to earthShe know I’m a beast at every angle, you can call me Kurt
Flipped her over by her ankles, locked her and she called me Kurt
She know I be getting to the paper, I be putting in work
Up the road, playing with that paper, yeah I got that work","2016"
"2","Denzel Curry","[Verse]
It's more than a lyrical war
That's why I tow heavy metal, that's a semi-automatic
AR rip, let a fuck nigga have it
Make it look like he exited from a water rapids
Nah this ain't rappin'
Talkin' bout these fake ass niggas that hide behind the AVI graphics
Girls wanna be plastic, even though they beautiful the way they are
Get it through they heads, now they strippin' on the Worldstar
This ain't Hip Hop, buddy, I'mma need more chicks
More clips, fuck a big body Benz, I need warships
2014, I went through the worst shit
A near death experience helped me thinkin' 'bout torment
Fuck friends, they just run they courses
Now these niggas faker than animes that they worship
Smile in your face, but on the real I know it's horse shit
Let the dork live, but God said ""let the Lord spit""I'm the king of the mischievous south
And this one goes to all the hoes that be screaming it outBlack hawks flying around my city, that's my vicinity
But I don't give a fuck, none of that shit really interest me
Fuck you, fuck them, and a enemyI wet a nigga sweatshirt cause that's a Sly Tendency
You can not get with me, hop off my N-U-T's
Please, bitch I allow you to breatheULT","2016"
"3","Anderson .Paak","Jokers and Cinderellas at the ball of confusion
The tension is high but niggas is still fly
Sophisticated puppets with political ties
Organized crime, paperback shrine
Pussy with a price tag, money all the time
Pills and a nightcap runnin' through your spine
Niggas sippin' lean what a fiend for the high
Addiction is a bitch but we thuggin' 'til the end
And these bitches love the glitz so I'm turnin' up the lights
I'm rollin' out the whips, throwing the dice
You can roll if you like, do what you feel
You wanted a show? Just open your eyes
This is life as you know it
A few make it through, most won't survive
A penny with a hole with no hope inside
It's survival of the finesse
And my nigga's went to dinners
So we taking a bite
And I made up my mind
The whole world loves you when you're top of the line
The hoes gon' want you when you're thuggin' it right
But the feds gon' bust you if your money too husky man
Trust me, devils want you livin' in fright
Ain't that right?","2016"
"4","Desiigner","Timmy Timmy Timmy Turner
He be wishin' for a burner
To kill everybody walkin'You know that his soul in the furnaceFine bitch on BET
Hottie why aren't you fuckin' on BET?
Wildin' for walletTo kill everybody walkin'You know that he's holdin' the furnaceTimmy Timmy Timmy Turner
He be wishin' for a burner
To kill everybody walkin'You know that his soul in the furnaceFine bitch on BET
Hottie why aren't you fuckin' on BET?
Wildin' for walletTo kill everybody walkin'You know that he's holdin' the furnace","2016"
"5","Lil Dicky","I’m too nice
Like a lil youngin that fell in love with a boo twice
As in double as fuckable as he was
And dude tries to be subtle and get her cuddling
Venting her troubles and getting her truffles
And ending up befuddled when she don’t fuck him
And someone tell him, “Listen, you buggin’
She never fucking a pedestrian muggle like you
So why all the trouble?”, but he rebuttal with
“I think I just love her so I would shudder at the thought of being anything other than nice”
Heat bang like I caught a body
It wasn’t even deep dang, shit it’s all a hobbyIt’s too bad bitches sleeping on me, threesome
Cause everybody want to help but he don’t need noneI’m all time like the wall at the bankYou no shot like you drawing a blankHonestly you probably couldn’t hang man
I been drawing it blank
Giving you lines while you sitting there and drawing a blankSo go on and rankChillin' like it's dough in the bankFlowing danker than a grower in Napa
Growing the stankest cannabis
Go on, rapping poet,  smacking the hoe-st rappers
Who showing the total packageLike my flaccid is growing fat as samoan crackerRapper, I’m about to keep going
Yeah the rapping’s a wrap
I know you rappers napping don’t know it
This a dagger, the pitter patter tapping on the window
Is a real accurate metaphor of what you have in the storeAnd I be snapping
The splashing on the pane be your rain
Falling quicker than Aladdin for his dameOh you better than me?
I’m not one for fuck shit","2016"
"6","G Herbo","Roaches, rats in apartments, mama smoking, baby starving
Pistols loading, discharging, I grew up in all it
Ghetto, hell, slums, bottom, what you wanna call it?
Nobody role models, everybody alcoholics
The shorties either gangbanging or they basketballin’
Where niggas get left slain stankin’ ‘cause they chain swangin’
Them kids won’t see they moms again ‘cause homie ain’t aimin’
Damn the streets changing, these lil niggas dangerous
Don’t even mask up no more, these lil niggas brainlessI got so many fallen loved ones, nigga out here painless
Don’t know when it’s my time to go, I keep that, I’ma flame it
Want to see me dead or broke, I know I need that motivation
Like if I blow my shot, lose everything I got
Have my hand out on that block, become everything I’m not
Been through that life, I blew that check, lost everything I had
That shit just left me looking silly and my mama sad
No nigga ever gave me shit when I was down bad
I was by myself in a six foot room right there on my ass
And now I stack that shit and mean it, like I’m on my last
I stay so low from fuck niggas like they on my ass
You know if I don’t fuck with you, better not cross my path
Niggas think it’s sweet, they see me in the streets, I been in my bag
Got to stay lowkey but I can’t wait to let ‘em feel my wrath
Still trained to go, could start doing backstrokes in a bloodbath
We wake up, flame up, pop up, post up
Steal dope, clap folks, crack jokesStill ain’t sad, kill us some white folks
Fuck those if it ain’t real black though
Started getting real money, I was 17
I’m 20 now, I’ma take it way back though
4th grade I was tryna be Ivo
Shooting ball, playing ‘round, saying raps thoughGrab my school shit, been throwing L’s up
Never knew what we all headed out for
Young niggas having real life shootouts
By my grandma house, had to move out
Started rapping, wasn’t tryna be a star
I was speaking what I lived, what I knew ‘bout
17 had labels tryna sign me
Thought might as well speak, so I flew out
Flew back, had to see what I was worth
Hit the studio, I know what I’ma do now
Meanwhile tryna make it in a warzone
Matter fact, let me hold that thoughtMy city know I ain’t even got to talk
Pull up, hop out, white chalk
Now you see me, smell money when I walk
Humble with it, no I ain’t tryna floss
Every real street nigga took a loss
Took a few, bounced back, shook it off
Had an X by my name, took it off
150, dream team, I’m the boss
I came from gambling, totin’, rollin’
Stolen transportation, police stations
Look at me now, tell me congratulations","2016"
"7","Lil Uzi Vert","[Verse]
I met some homies make a night what I signed for
But that's okay, I stack my money, make it times four
Look at my shoes, yeah, you know them things be Tom Ford
Lil Uzi, July 31st, born in '94
All these boys hatin' on me, that's why I got this nine for
But you know I run the game just like I'm an athlete
Better yet, not an athlete, runnin' just like a track of meTold that girl that she can't see me or can't meet me
Told that boy he can dress like me, but he can't be meTold that boy I don't see no competition like I'm StevieAnd yeah, I don't believe in the devil, but I play with them Ouijas
Alright, hotter than wasabi, everybody know that
Huh, same class as my nigga 21 and Kodak
Huh, told that girl I got them diamonds on my teeth, that's KodakBetter smile for me, huh, yeah, you better get wild for me
Yeah, look at that Rolly, girl, better tell the dial for me
Cause that thing don't tick, baby
Huh, you probably get hit, babyYeah, if that boy talkin' shit, then I turn that boy into a lick, babyForty shots for Lil Uzi, boy, I don't believe that
Huh, come into your hood, boy, yeah that's where we at
Yeah, where the weed at
Yeah, where the lick at
Yeah, boy stop all that talkin', I said where the bricks atYeah, you'll get hit back, break your neck like a Kit-Kat
Yeah, better get back, because this AK got that kick-back","2016"
"8","Dave East","Everybody keep tellin me make a club record
You ain't trappin' no more, stop makin' drug records
Nigga you just had a daughter, stop makin' thug recordsI brought that money back fast, I had the plug flexin'
Welcome to Harlem, El Barrio, that's the drug sectionHit your bitch with my jeans on, they makin' love naked
I got love for my local, but I know cuz reckless
I ain't gotta sleep in the projects, I did enough stressin'
My father was a rollin' stone, but taught me one lesson
Do your dirt by yourself, your friends be the ones tellin'
I know it broke my mother heart to see her son sellin'
I had coke in my dresser, trifling as ever had a dreamBiggie featured me on life after
I be with my same niggas
I don't really like rappersNiggas can't make a song for nothin' but they nice actorsGo and get a movie role
Low baggin' up tuna rolls
Raw shitI come from a block where you seen it but never saw shitI be at the juice bar, my wheat grass and bark shit
My youngin' just came from up north, he tryna pop shit
Tryna teach him somethin' bout life and how we started
Lower class poverty, homies from jail callin' me
Playin' a number every day but never hit the lotteryLiquor store on the corner, might as well get drunkI remember that free lunch, wasn't shootin we would jump, stump
Niggas like the end of a blunt
Trap slowed up, I told papi I got 'em by the end of the monthI was thinkin' bout 5 50's with the cinnamon gutsThese shots will blow your mind away, now your memory dust
In memory of, I got a J.F. Kennedy buzz
Presidential, call Enterprise, I need another rentalTryna take a package down to North Carolina
Maybe buy some Ferragamo, I'm so focused on these commas
If you never been broke it's gon' be hard to feel meOnly Allah in my vote, it's gon' be hard to kill me
They say practice make perfect, we at it every day
I'm thinking 'bout that consignment, sometimes I never paidIt was written, I'm gifted, homie come learn something
Conversations 'bout paper, baby come burn something
East side","2016"
"9","21 Savage","[Verse]
Life ain't been no walk through the park, where do I start?
Young nigga selling rock and robbin', just not to starve
He never paid attention in school, can't get a jobPlus he confused, most of his partners behind bars, he turned to God
Asking Him why he was dealt these cards, he feeling odd
His blood is cold, his heart's scarred but he's a street nigga
He got a pistol, he gon' eat nigga
He give a fuck about a bitch or a weak nigga and that's real
And if that ain't real then tell me what it is
My cousin, 19, they gave his ass 20 years
My nigga Larry died and I'm still shedding tears
But I salute him cause he kept it real
But there's a lot of fakes
Backstabbing ass hoes and snakes
They turn on their people for a little piece of cake
And when you make it to the top, these fuck niggas hate
But I'm okay cause I know one day
That I'ma leave and they gon' know that I was 100
21, bitch","2016"
"10","Lil Yachty","[Verse]Hey mama, I did it! I'm finally here!
Diamonds on my neck cost a 60, plus a cool 5Chickens lined up in the kitchen like Kentucky drive
Brother on my side, on his hip, that's a 4-5Never a bum, I rather Hi-Tech over rumYou dap me up, I know you see me shining from pinky finger to thumbWe having traffic, I cause static up in the attic like Dish network
I'm top floor by the bluest shoreThat's Lil Boat with the biggest ego, flyer than a seagullEvery time you see me out you know it's a movie like Regal
Cinema, Lil Chrissy, that's my photographerLil Boat, he going very far, burnin' up like Sean Paul
Lil Boat!","2016"
