"","artist","song","viewcount","year"
"1","21 Savage","<U+200B>break da law             ",80500,2016
"2","21 Savage","<U+200B>a lot (Ft. J. Cole)             ",569500,2016
"3","21 Savage","1.5 (Ft. Offset)             ",83800,2016
"4","21 Savage","<U+200B>a&t (Ft. Yung Miami)             ",100500,2016
"5","21 Savage","<U+200B>out for the night             ",87800,2016
"6","21 Savage","<U+200B>gun smoke             ",65200,2016
"7","21 Savage","<U+200B>ball w/o you             ",193500,2016
"8","21 Savage","<U+200B>all my friends (Ft. Post Malone)             ",137200,2016
"9","21 Savage","<U+200B>can't leave without it (Ft. Gunna & Lil Baby)             ",192400,2016
"10","21 Savage","<U+200B>asmr             ",130200,2016
"11","21 Savage","<U+200B>monster (Ft. Childish Gambino)             ",192800,2016
"12","21 Savage","<U+200B>letter 2 my momma             ",61600,2016
"13","21 Savage","4L (Ft. Young Nudy)             ",103200,2016
"14","21 Savage","<U+200B>out for the night, pt. 2 (Ft. Travis Scott)             ",62500,2016
"15","21 Savage","<U+200B>good day (Ft. Project Pat & ScHoolboy Q)             ",86800,2016
"16","21 Savage","<U+200B>pad lock             ",47500,2016
"17","21 Savage","Famous             ",197200,2016
"18","21 Savage","Close My Eyes             ",95000,2016
"19","21 Savage","Bad Business             ",90700,2016
"20","21 Savage","Baby Girl             ",113800,2016
"21","21 Savage","Thug Life             ",104500,2016
"22","21 Savage","FaceTime             ",129300,2016
"23","21 Savage","Nothin New             ",183000,2016
"24","21 Savage","Numb             ",251200,2016
"25","21 Savage","Dead People             ",102300,2016
"26","21 Savage","Money Convo             ",71400,2016
"27","21 Savage","Special             ",128800,2016
"28","21 Savage","Whole Lot             ",118800,2016
"29","21 Savage","7 Min Freestyle             ",146700,2016
"30","21 Savage","Bank Account             ",2300000,2016
"31","21 Savage","Lord Forgive Me             ",60200,2016
"32","21 Savage","Dirty K (Ft. Lotto Savage)             ",106300,2016
"33","21 Savage","Front Door             ",14000,2016
"34","21 Savage","Wow             ",36800,2016
"35","21 Savage","Slime (Ft. Young Nudy)             ",16700,2016
"36","21 Savage","Dip Dip             ",201400,2016
"37","21 Savage","Motorcycle (Ft. Dreezy)             ",45000,2016
"38","21 Savage","Deserve             ",16000,2016
"39","21 Savage","Vette (Ft. Trouble)             ",16700,2016
"40","21 Savage","Bitch Nigga             ",19000,2016
"41","21 Savage","Help Me             ",7700,2016
"42","21 Savage","Free Gucci             ",7800,2016
"43","21 Savage","H2O             ",14700,2016
"44","21 Savage","One Foot             ",11100,2016
"45","21 Savage","Supply             ",28900,2016
"46","21 Savage","Red Opps             ",634000,2016
"47","21 Savage","12 AM             ",33700,2016
"48","21 Savage","Twenty1             ",12300,2016
"49","21 Savage","Skrrt Skrrt             ",127000,2016
"50","21 Savage","Pimp             ",17900,2016
"51","21 Savage","Gang             ",36400,2016
"52","21 Savage","Picky             ",18700,2016
"53","21 Savage","Slaughter Ya Daughter (Ft. <U+200B>iLoveMakonnen & KEY!)             ",42700,2016
"54","21 Savage","Drip             ",30600,2016
"55","21 Savage","Out the Bowl (Ft. KEY!)             ",9400,2016
"56","21 Savage","Drinkin And Driving             ",7200,2016
"57","21 Savage","Start Dying (Ft. Offset)             ",9900,2016
"58","21 Savage","FNB (Fuckin Niggaz Bitches)             ",17500,2016
"59","21 Savage","Million Dollar Liq (Ft. ManMan Savage)             ",15900,2016
"60","21 Savage","Seeing Double             ",6100,2016
"61","21 Savage","Heart So Cold (Ft. Freaky D$MG)             ",7100,2016
"62","21 Savage","Woah             ",32400,2016
"63","21 Savage","No Peace             ",22600,2016
"64","21 Savage","Mind Yo Business             ",94900,2016
"65","A Boogie Wit Da Hoodie","This Time*             ",7700,2017
"66","A Boogie Wit Da Hoodie","I Did It             ",32800,2017
"67","A Boogie Wit Da Hoodie","Swervin (Ft. 6ix9ine)             ",145300,2017
"68","A Boogie Wit Da Hoodie","Voices in My Head             ",49000,2017
